Course ID,Course code,Course number,Long Title,Class Units,Component Code,Component Descr,Pre Requisite Description,Career,Equivalent Courses,Key,Faculty,Department,Program,Level,Degree,Title,Description,Metadata,Type,Website
1241,APLI,647,SUPERVISION OF PRACT.TEACH,3.0,LEC,Lecture,,GRAD,,FAS_793,FAS,Education,Applied Linguistics,Graduate,Master,Supervision of Practice Teaching,Students observe and assist novice ESL teachers and provide one-on-one mentoring.,,Course-integrated,No website provided
1268,APLI,660,RESEARCH METHODS,3.0,LEC,Lecture,,GRAD,,FAS_794,FAS,Education,Applied Linguistics,Graduate,Master,Research Methods,"Students engage in a project leading to a proposal for an MA-level research study. The research proposal consists of two parts: (a) review of the literature and (b) method section, organized as a single, coherent document. The research proposal also includes an oral presentation, and a response to peer feedback document.",,Course-integrated,No website provided
47978,APLI,626,Variationist Second Language Acquisition,3.0,LEC,Lecture,,GRAD,,FAS_787,FAS,Education,Applied Linguistics,Graduate,Master,Variationist Approaches to Second Language Acquisition,"Conceptualize, design and implement a pilot study using variationist analytical tools; review and critique studies in the field; create sociolinguistically-influenced pedagogical materials for language teaching",,Course-integrated,No website provided
1766,ARTE,201,Art in Early Childhood I,3.0,STU,Studio,,UGRD,,FFA_0544,FFA,Art Education,,Undergraduate,Bachelor,ART IN EARLY CHILDHOOD I,,Hands-on workshops;Games/Role-playing,Course-integrated,No website provided
2425,ARTT,470,Professional Internship,6.0,PRA,Practicum/Internship/Work-Term,You must have completed a minimum amount of 48 credits.,UGRD,,FFA_677,FFA,Studio Arts,Studio Arts,Undergraduate,Bachelor,Professional Internship,Students wishing to work in an internship capacity within an artistic/cultural environment may apply for academic credit.,Artistic performances/exhibits,Course-integrated;Work-integrated;Community-based,No website provided
2426,ARTT,471,Professional Internship I,3.0,PRA,Practicum/Internship/Work-Term,You must have completed a minimum amount of 48 credits.,UGRD,,FFA_678,FFA,Studio Arts,Studio Arts,Undergraduate,Bachelor,Professional Internship I,Students wishing to work in an internship capacity within an artistic/cultural environment may apply for academic credit.,Artistic performances/exhibits,Course-integrated;Work-integrated;Community-based,No website provided
2427,ARTT,472,Professional Internship II,3.0,PRA,Practicum/Internship/Work-Term,Course Prerequisite: ARTT471  You must have completed a minimum amount of 48 credits.,UGRD,,FFA_679,FFA,Studio Arts,Studio Arts,Undergraduate,Bachelor,Professional Internship II,Students wishing to work in an internship capacity within an artistic/cultural environment may apply for academic credit.,Artistic performances/exhibits,Course-integrated;Work-integrated;Community-based,No website provided
2431,ARTX,280,Integrated Studio in Contemporary Art Practices I,6.0,STU,Studio,"Never Taken/Not Registered: ARTX250, ARTX260, ARTX270",UGRD,,FFA_174,FFA,Studio Arts,Art Studio,Undergraduate,Bachelor,Integrated Studio in Contemporary Art Practices I,Studio course,Hands-on workshops;Laboratory/Clinics;Artistic performances/exhibits,Course-integrated,No website provided
2432,ARTX,380,Intermediate Integrated Studio in Contemporary Art Practices,6.0,STU,Studio,"You must complete 6 of the following rules   Must complete min number of credits: 6 in the subject., ARTX280, CERA230, DRAW200, PTNG200, SCUL210, FBRS240, FBRS260, PHOT210, SCUL200",UGRD,,FFA_175,FFA,Studio Arts,Art Studio,Undergraduate,Bachelor,Intermediate Integrated Studio in Contemporary Art Practices,Studio course,Hands-on workshops;Laboratory/Clinics;Artistic performances/exhibits,Course-integrated,No website provided
2435,ARTX,480,Advanced Integrated Studio in Contemporary Art Practices,6.0,STU,Studio,You must complete 1 of the following rules   Course Prerequisite:,UGRD,,FFA_178,FFA,Studio Arts,Art Studio,Undergraduate,Bachelor,Advanced Integrated Studio in Contemporary Art Practices,Studio course,Hands-on workshops;Laboratory/Clinics;Artistic performances/exhibits,Course-integrated,No website provided
2436,ARTX,490,Independent Study,6.0,STU,Studio,,UGRD,,FFA_661,FFA,Studio Arts,Studio Arts,Undergraduate,Bachelor,Independent Study,This course provides a limited number of students the opportunity to pursue advanced studies in a specific interdisciplinary project under the supervision of a full‑time ARTX faculty member.,Artistic performances/exhibits;Laboratory/Clinics;Practica,Course-integrated,No website provided
2437,ARTX,491,Independent Study I,3.0,STU,Studio,,UGRD,,FFA_662,FFA,Studio Arts,Studio Arts,Undergraduate,Bachelor,Independent Study II,This course provides a limited number of students the opportunity to pursue advanced studies in a specific interdisciplinary project under the supervision of a full‑time ARTX faculty member.,Artistic performances/exhibits;Laboratory/Clinics;Practica,Course-integrated,No website provided
2438,ARTX,492,Independent Study II,3.0,STU,Studio,,UGRD,,FFA_663,FFA,Studio Arts,Studio Arts,Undergraduate,Bachelor,Independent Study II,This course provides a limited number of students the opportunity to pursue advanced studies in a specific interdisciplinary project under the supervision of a full‑time ARTX faculty member.,Artistic performances/exhibits;Laboratory/Clinics;Practica,Course-integrated,No website provided
46517,ARTX,399,SPEC.TOPICS CONT.STUDIO PRAC,6.0,LEC,Lecture,,UGRD,,FFA_177,FFA,Studio Arts,Art Studio,Undergraduate,Bachelor,Special Topics in Contemporary Studio Arts Practice,Studio course,Hands-on workshops;Laboratory/Clinics;Artistic performances/exhibits,Course-integrated,No website provided
48168,ARTX,398,Special Topics in Contemporary Studio Arts Practice,3.0,STU,Studio,,UGRD,,FFA_176,FFA,Studio Arts,Art Studio,Undergraduate,Bachelor,Special Topics in Contemporary Studio Arts Practice,Studio course,Hands-on workshops;Laboratory/Clinics;Artistic performances/exhibits,Course-integrated,No website provided
50965,ARTX,201,Introduction to Contemporary Art Practices,3.0,STU,Studio,for students in a BFA degree or Fine Arts Minor program,UGRD,,FFA_660,FFA,Studio Arts,Studio Arts,Undergraduate,Bachelor,Introduction to Contemporary Art Practices,Studio course,Hands-on workshops;Laboratory/Clinics;Artistic performances/exhibits,Course-integrated,No website provided
2587,BCEE,371,Surveying,2.0,LAB,Laboratory,Course Prerequisite: BLDG212 or CIVI212,UGRD,BCEE 371 = CIVI 271,GCS_58,GCS,"Building, Civil and Environmental Engineering (BCEE)","Building, Civil and Environmental Engineering",Undergraduate,Bachelor,Surveying,Fieldwork,Hands-on workshops;Laboratory/Clinics;Real-world project/assignment,Course-integrated;Work-integrated;,No website provided
2587,BCEE,371,Surveying,2.0,LEC,Lecture,Course Prerequisite: BLDG212 or CIVI212,UGRD,BCEE 371 = CIVI 271,GCS_58,GCS,"Building, Civil and Environmental Engineering (BCEE)","Building, Civil and Environmental Engineering",Undergraduate,Bachelor,Surveying,Fieldwork,Hands-on workshops;Laboratory/Clinics;Real-world project/assignment,Course-integrated;Work-integrated;,No website provided
2625,BIOL,201,Introductory Biology,3.0,LAB,Laboratory,"Students must not have taken any the following courses: BIOL225, BIOL226, BIOL261.",UGRD,,FAS_31,FAS,Biology,Any program,Undergraduate,Bachelor,Introductory Biology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2625,BIOL,201,Introductory Biology,3.0,LEC,Lecture,"Students must not have taken any the following courses: BIOL225, BIOL226, BIOL261.",UGRD,,FAS_31,FAS,Biology,Any program,Undergraduate,Bachelor,Introductory Biology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2643,BIOL,227,Laboratory Studies in Biodiversity,3.0,LAB,Laboratory,Prerequisite: BIOL225 and BIOL226.,UGRD,,FAS_33,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Laboratory Studies in Biodiversity,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2643,BIOL,227,Laboratory Studies in Biodiversity,3.0,LEC,Lecture,Prerequisite: BIOL225 and BIOL226.,UGRD,,FAS_33,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Laboratory Studies in Biodiversity,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2686,BIOL,322,Biostatistics,3.0,LAB,Laboratory,"Prerequisite:  nine BIOL credits in a Biology major, Honours, or specialization program or completion of Stage I of the Geography Honours or specialization programs in Environmental Science or permission of the Department.",UGRD,,FAS_36,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Biostatistics,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2686,BIOL,322,Biostatistics,3.0,LEC,Lecture,"Prerequisite:  nine BIOL credits in a Biology major, Honours, or specialization program or completion of Stage I of the Geography Honours or specialization programs in Environmental Science or permission of the Department.",UGRD,,FAS_36,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Biostatistics,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2690,BIOL,330,Vertebrate Biology,3.0,LAB,Laboratory,Prerequisite: BIOL225 and BIOL226.,UGRD,,FAS_37,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Vertebrate Biology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2690,BIOL,330,Vertebrate Biology,3.0,LEC,Lecture,Prerequisite: BIOL225 and BIOL226.,UGRD,,FAS_37,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Vertebrate Biology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2704,BIOL,337,Invertebrate Biology,3.0,LAB,Laboratory,"Prerequisite: BIOL225, BIOL226 and BIOL227.",UGRD,,FAS_38,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Invertebrate Biology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2704,BIOL,337,Invertebrate Biology,3.0,LEC,Lecture,"Prerequisite: BIOL225, BIOL226 and BIOL227.",UGRD,,FAS_38,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Invertebrate Biology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2706,BIOL,340,Plant Biology,3.0,LAB,Laboratory,Prerequisite: BIOL225 and BIOL226,UGRD,,FAS_39,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Plant Biology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2706,BIOL,340,Plant Biology,3.0,LEC,Lecture,Prerequisite: BIOL225 and BIOL226,UGRD,,FAS_39,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Plant Biology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2717,BIOL,351,Basic Population Ecology,3.0,LAB,Laboratory,"Prerequisite: BIOL226.  Never Taken: BIOL450, BIOL452, BIOL457.",UGRD,,FAS_40,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Basic Population Ecology,Computer lab,Laboratory/Clinics,Course-integrated,No website provided
2717,BIOL,351,Basic Population Ecology,3.0,LEC,Lecture,"Prerequisite: BIOL226.  Never Taken: BIOL450, BIOL452, BIOL457.",UGRD,,FAS_40,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Basic Population Ecology,Computer lab,Laboratory/Clinics,Course-integrated,No website provided
2730,BIOL,368,Genetics and Cell Biology Laboratory,3.0,LAB,Laboratory,Prerequisite: BIOL261 and BIOL266; CHEM212 or CHEM217 or BIOL227.,UGRD,,FAS_43,FAS,Biology,Biochemistry/Biology/Cell Mol Biol/SIB,Undergraduate,Bachelor,Genetics and Cell Biology Laboratory,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2730,BIOL,368,Genetics and Cell Biology Laboratory,3.0,LEC,Lecture,Prerequisite: BIOL261 and BIOL266; CHEM212 or CHEM217 or BIOL227.,UGRD,,FAS_43,FAS,Biology,Biochemistry/Biology/Cell Mol Biol/SIB,Undergraduate,Bachelor,Genetics and Cell Biology Laboratory,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2735,BIOL,382,Comparative Animal Physiology,3.0,LAB,Laboratory,"Prerequisite: BIOL225, BIOL226 and BIOL266.",UGRD,BIOL 382 = BIOL 383,FAS_44,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Comparative Animal Physiology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2735,BIOL,382,Comparative Animal Physiology,3.0,LEC,Lecture,"Prerequisite: BIOL225, BIOL226 and BIOL266.",UGRD,BIOL 382 = BIOL 383,FAS_44,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Comparative Animal Physiology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2763,BIOL,422,Advanced Statistics for Biological Sciences,3.0,LAB,Laboratory,Prerequisite:  BIOL322.,UGRD,,FAS_821,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Advanced Statistics in Biological Science,Computer lab,Laboratory/Clinics,Course-integrated,No website provided
2763,BIOL,422,Advanced Statistics for Biological Sciences,3.0,LEC,Lecture,Prerequisite:  BIOL322.,UGRD,,FAS_821,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Advanced Statistics in Biological Science,Computer lab,Laboratory/Clinics,Course-integrated,No website provided
2788,BIOL,450,TECHNIQUES IN ECOLOGY,3.0,LAB,Laboratory,"Prerequisite: BIOL227 and BIOL322 or equivalent; a minimum of six credits from BIOL321, BIOL350, BIOL351, BIOL353, BIOL354.",UGRD,,FAS_45,FAS,Biology,Biology/Ecology/ESS,Undergraduate,Bachelor,Techniques in Ecology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2788,BIOL,450,TECHNIQUES IN ECOLOGY,3.0,TUT,Tutorial,"Prerequisite: BIOL227 and BIOL322 or equivalent; a minimum of six credits from BIOL321, BIOL350, BIOL351, BIOL353, BIOL354.",UGRD,,FAS_45,FAS,Biology,Biology/Ecology/ESS,Undergraduate,Bachelor,Techniques in Ecology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2789,BIOL,451,Field Ecology,3.0,TUT,Tutorial,Prerequisite: BIOL 322 or equivalent; BIOL 353.,UGRD,,FAS_46,FAS,Biology,Biology/Ecology/ESS,Undergraduate,Bachelor,Field Ecology,2 weeks of fieldwork in a research station,Practica;Real-world project/assignment,Course-integrated;Research-based;,No website provided
2804,BIOL,466,Advanced Techniques in Molecular Biology,3.0,LAB,Laboratory,Prerequisite: BIOL367 and BIOL368.,UGRD,,FAS_49,FAS,Biology,Biochemistry/Biology/Cell Mol Biol/SIB,Undergraduate,Bachelor,Advanced Techniques in Molecular Biology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2804,BIOL,466,Advanced Techniques in Molecular Biology,3.0,LEC,Lecture,Prerequisite: BIOL367 and BIOL368.,UGRD,,FAS_49,FAS,Biology,Biochemistry/Biology/Cell Mol Biol/SIB,Undergraduate,Bachelor,Advanced Techniques in Molecular Biology,Laboratory,Laboratory/Clinics,Course-integrated,No website provided
2813,BIOL,480,Bioinformatics,3.0,LAB,Laboratory,Prerequisite: BIOL367; within 30 credits of graduating with a BSc in a Department of Biology honours or specialization program; permission of the Department.,UGRD,,FAS_823,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS/SIB/HLS,Undergraduate,Bachelor,Bioinformatics,Computer lab,Laboratory/Clinics,Course-integrated,No website provided
2813,BIOL,480,Bioinformatics,3.0,LEC,Lecture,Prerequisite: BIOL367; within 30 credits of graduating with a BSc in a Department of Biology honours or specialization program; permission of the Department.,UGRD,,FAS_823,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS/SIB/HLS,Undergraduate,Bachelor,Bioinformatics,Computer lab,Laboratory/Clinics,Course-integrated,No website provided
2817,BIOL,490,Independent Study,6.0,LEC,Lecture,Prerequisite: within 30 credits of graduating with a BSc in a Department of Biology honours or specialization program; permission of the Department.,UGRD,,FAS_824,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS/SIB,Undergraduate,Bachelor,Independent Study,Research project,Case studies,Course-integrated;Research-based;,No website provided
2844,BIOL,510,BIOINFORMATICS,3.0,LAB,Laboratory,,GRAD,,FAS_826,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,Bioinformatics,Computer lab,,Course-integrated,No website provided
2844,BIOL,510,BIOINFORMATICS,3.0,LEC,Lecture,,GRAD,,FAS_826,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,Bioinformatics,Computer lab,,Course-integrated,No website provided
2850,BIOL,515,LABORATORY,3.0,LAB,Laboratory,,GRAD,,FAS_51,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,Biotechnology and Genomics Laboratory,Laboratory,,Course-integrated,No website provided
2850,BIOL,515,LABORATORY,3.0,TUT,Tutorial,,GRAD,,FAS_51,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,Biotechnology and Genomics Laboratory,Laboratory,,Course-integrated,No website provided
2852,BIOL,516,PROJ IN BIOTECH & GENOMICS,6.0,LEC,Lecture,,GRAD,,FAS_827,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,Project in Biotechnology and Genomics,Research project,,Course-integrated,No website provided
2859,BIOL,524,HIGH THROUGHPUT INSTRUMENTAT,3.0,LEC,Lecture,Prerequisite: BIOL 511 and BIOL 512.,GRAD,,FAS_52,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,High-throughput Instrumentation,Real-world project/assignment,,Course-integrated,No website provided
2933,BIOL,614,ADVANCED TOPICS IN ECOLOGY,3.0,TUT,Tutorial,,GRAD,,FAS_828,FAS,Biology,Biotechnology and Genomics,Graduate,Certificate,Advanced Topics in Ecology: Advanced Field Ecology,2 weeks of fieldwork in a research station,,Course-integrated,No website provided
2951,BIOL,631,ADVANCED TOPICS IN BIOTECHNOLOGY,3.0,LEC,Lecture,,GRAD,,FAS_830,FAS,Biology,Biology,Graduate,Master,Advanced Top/Biotechnology: Synthetic Biology and Industrial Applications,Real-world project/assignment,,Course-integrated,No website provided
2951,BIOL,631,ADVANCED TOPICS IN BIOTECHNOLOGY,3.0,LEC,Lecture,,GRAD,,FAS_831,FAS,Biology,Biology,Graduate,Master,Advanced Top/Biotechnology: Tools of Synthetic Biology,Real-world project/assignment,,Course-integrated,No website provided
2981,BIOL,670,SCIENTIFIC COMMUNICATION,3.0,LEC,Lecture,,GRAD,,FAS_55,FAS,Biology,Biology,Graduate,Master,Scientific Communication,Workshops,,Course-integrated,No website provided
2989,BIOL,680,ADVANCED TOPICS IN BIOLOGY,3.0,LAB,Laboratory,,GRAD,,FAS_832,FAS,Biology,Biology,Graduate,Master,High-throughput Instrumentation,Real-world project/assignment,,Course-integrated,No website provided
2989,BIOL,680,ADVANCED TOPICS IN BIOLOGY,3.0,LAB,Laboratory,,GRAD,,FAS_833,FAS,Biology,Biology,Graduate,Master,Advanced Topics in Biology: Advanced Statistics in Biological Science,Computer lab,,Course-integrated,No website provided
2989,BIOL,680,ADVANCED TOPICS IN BIOLOGY,3.0,LEC,Lecture,,GRAD,,FAS_832,FAS,Biology,Biology,Graduate,Master,High-throughput Instrumentation,Real-world project/assignment,,Course-integrated,No website provided
2989,BIOL,680,ADVANCED TOPICS IN BIOLOGY,3.0,LEC,Lecture,,GRAD,,FAS_833,FAS,Biology,Biology,Graduate,Master,Advanced Topics in Biology: Advanced Statistics in Biological Science,Computer lab,,Course-integrated,No website provided
3004,BIOL,801,PEDAGOGICAL TRAINING,3.0,LEC,Lecture,,GRAD,,FAS_834,FAS,Biology,Biology,Graduate,Ph.D.,Pedagogical Training,Pedagogical Practicum,,Course-integrated,No website provided
40164,BIOL,486,High-throughput Instrumentation,3.0,LEC,Lecture,Prerequisite: BIOL367; within 30 credits of graduating with a BSc in a Department of Biology honours or specialization program; permission of the Department.,UGRD,,FAS_50,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS/SIB,Undergraduate,Bachelor,High-throughput Instrumentation,Real-world project/assignment,Real-world project/assignment,Course-integrated,No website provided
40180,BIOL,622,ADVANCED TECHNIQUES/ECOLOGY,3.0,LAB,Laboratory,,GRAD,,FAS_53,FAS,Biology,Biology,Graduate,Master,Advanced Techniques in Ecology,Laboratory,,Course-integrated,No website provided
40180,BIOL,622,ADVANCED TECHNIQUES/ECOLOGY,3.0,TUT,Tutorial,,GRAD,,FAS_53,FAS,Biology,Biology,Graduate,Master,Advanced Techniques in Ecology,Laboratory,,Course-integrated,No website provided
40210,BIOL,689,ADV TECH/MOLECULAR BIOLOGY,3.0,LAB,Laboratory,,GRAD,,FAS_56,FAS,Biology,Biology,Graduate,Master,Advanced Techniques in Molecular Biology,Laboratory,,Course-integrated,No website provided
40210,BIOL,689,ADV TECH/MOLECULAR BIOLOGY,3.0,LEC,Lecture,,GRAD,,FAS_56,FAS,Biology,Biology,Graduate,Master,Advanced Techniques in Molecular Biology,Laboratory,,Course-integrated,No website provided
40211,BIOL,802,RESEARCH SEMINAR,3.0,LEC,Lecture,,GRAD,,FAS_835,FAS,Biology,Biology,Graduate,Ph.D.,Research Seminar,Research seminar,,Course-integrated,No website provided
46521,BIOL,398,INTERMEDIATE TOPICS/BIOLOGY,3.0,LEC,Lecture,,UGRD,,FAS_820,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Intermediate Topics in Biology: Ecology of Urban Environments,Field work,Hands-on workshops,Course-integrated,No website provided
46524,BIOL,498,Advanced Topics in Biology,3.0,LAB,Laboratory,,UGRD,,FAS_825,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Internship In Tropical Biology,Internship field work in tropical environment/seminar,Practica,Course-integrated;Work-integrated;,No website provided
46524,BIOL,498,Advanced Topics in Biology,3.0,LEC,Lecture,,UGRD,,FAS_825,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Internship In Tropical Biology,Internship field work in tropical environment/seminar,Practica,Course-integrated;Work-integrated;,No website provided
46528,BIOL,630,Advanced Topics in Bioinformatics,3.0,LAB,Laboratory,,GRAD,,FAS_829,FAS,Biology,Biology,Graduate,Master,Bioinformatics,Computer lab,,Course-integrated,No website provided
46528,BIOL,630,Advanced Topics in Bioinformatics,3.0,LEC,Lecture,,GRAD,,FAS_829,FAS,Biology,Biology,Graduate,Master,Bioinformatics,Computer lab,,Course-integrated,No website provided
48775,BIOL,423,Scientific Communication,3.0,LEC,Lecture,"Prerequisite:  BIOL490, previously or concurrently; permission of the Department.",UGRD,,FAS_822,FAS,Biology,Biology/Ecology/Cell Mol Biol/ESS,Undergraduate,Bachelor,Scientific Communication,Workshops,Hands-on workshops,Course-integrated,No website provided
3322,BLDG,365,Building Science,3.5,LAB,Laboratory,Course Prerequisite: ENGR251,UGRD,BLDG 364 = BLDG 365,GCS_11,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,Building Science,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,No website provided
3322,BLDG,365,Building Science,3.5,LEC,Lecture,Course Prerequisite: ENGR251,UGRD,BLDG 364 = BLDG 365,GCS_11,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,Building Science,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,No website provided
3322,BLDG,365,Building Science,3.5,TUT,Tutorial,Course Prerequisite: ENGR251,UGRD,BLDG 364 = BLDG 365,GCS_11,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,Building Science,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,No website provided
3323,BLDG,366,Acoustics and Lighting,3.5,LAB,Laboratory,Course Prerequisite: ENGR243,UGRD,BLDG 363 = BLDG 366,GCS_12,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,Acoustics and Lighting,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,No website provided
3323,BLDG,366,Acoustics and Lighting,3.5,LEC,Lecture,Course Prerequisite: ENGR243,UGRD,BLDG 363 = BLDG 366,GCS_12,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,Acoustics and Lighting,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,No website provided
3323,BLDG,366,Acoustics and Lighting,3.5,TUT,Tutorial,Course Prerequisite: ENGR243,UGRD,BLDG 363 = BLDG 366,GCS_12,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,Acoustics and Lighting,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,No website provided
3324,BLDG,371,Building Service Systems,3.5,LAB,Laboratory,"Never Taken: BLDG471, BLDG475, BLDG477, BLDG490 You must complete 1 of the following rules   Course Corequisite: BLDG365",UGRD,,GCS_13,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,Building Service Systems,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,No website provided
3324,BLDG,371,Building Service Systems,3.5,LEC,Lecture,"Never Taken: BLDG471, BLDG475, BLDG477, BLDG490 You must complete 1 of the following rules   Course Corequisite: BLDG365",UGRD,,GCS_13,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,Building Service Systems,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,No website provided
3325,BLDG,390,Building Engineering Design Project,3.5,LAB,Laboratory,Course Prerequisite: BLDG341; ENCS 282; Course Co-requisite: BCEE344,UGRD,,GCS_14,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,,Bachelor,Building Engineering Design Project,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html
3325,BLDG,390,Building Engineering Design Project,3.5,LEC,Lecture,Course Prerequisite: BLDG341; ENCS 282; Course Co-requisite: BCEE344,UGRD,,GCS_14,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,,Bachelor,Building Engineering Design Project,"Laboratory: 2 hours per week, alternate weeks",Laboratory/Clinics,Course-integrated,https://www.concordia.ca/ginacody/computer-science-software-eng/research/groups.html
3330,BLDG,463,Building Envelope Design,3.0,LEC,Lecture,Prerequisite: BLDG 365,UGRD,BLDG 461 = BLDG 463,GCS_15,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,Building Envelope Design,On-site investigation,Hands-on workshops;Laboratory/Clinics;Real-world project/assignment,Course-integrated,No website provided
3332,BLDG,471,HVAC System Design,4.0,LAB,Laboratory,Course Prerequisite: BLDG371; Course Co-requisite: BLDG476; Never Taken: BLDG472,UGRD,,GCS_16,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,HVAC System Design,Laboratory: 2 hours per week,Laboratory/Clinics,Course-integrated,No website provided
3332,BLDG,471,HVAC System Design,4.0,LEC,Lecture,Course Prerequisite: BLDG371; Course Co-requisite: BLDG476; Never Taken: BLDG472,UGRD,,GCS_16,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,HVAC System Design,Laboratory: 2 hours per week,Laboratory/Clinics,Course-integrated,No website provided
3337,BLDG,476,Thermal Analysis of Buildings,3.0,LEC,Lecture,"Course Prerequisite: BLDG365, ENGR361; Never Taken: BLDG471",UGRD,,GCS_17,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,Thermal Analysis of Buildings,Laboratory: 1 hour per week,Laboratory/Clinics,Course-integrated,No website provided
3337,BLDG,476,Thermal Analysis of Buildings,3.0,TUT,Tutorial,"Course Prerequisite: BLDG365, ENGR361; Never Taken: BLDG471",UGRD,,GCS_17,GCS,"Building, Civil and Environmental Engineering (BCEE)",Building Engineering,Undergraduate,Bachelor,Thermal Analysis of Buildings,Laboratory: 1 hour per week,Laboratory/Clinics,Course-integrated,No website provided
